DropID,SurveyID,SiteID,Latitude,Longitude,EventDate,Created By,TideLevel,Weather,UnderwaterVisibility,ReplicateWithinSite,EventTimeStart,EventTimeEnd,DepthDeployment,DepthStrata,NZMHCS_Abiotic,NZMHCS_Biotic,NotesDeployment,RecordedBy,IsBadDeployment,fps,duration,FileName,LinkToVideoFile,SamplingStart,SamplingEnd,ID
TSB_20240110_BUV_TSB_001_02,TSB_20240110_BUV,TSB_001,-39.615443,177.8315418,10/01/2024,T. Kōura,,<0.1m_Swell,,2,14:45,,37,,,,,T. Kōura,False,10,1970,TSB_20240110_BUV_TSB_001_02.mp4,media/TSB_20240110_BUV/TSB_20240110_BUV_TSB_001_02/TSB_20240110_BUV_TSB_001_02.mp4,110,1910,90011
TSB_20240110_BUV_TSB_002_01,TSB_20240110_BUV,TSB_002,-39.629122,177.8341159,10/01/2024,T. Kōura,,<0.1m_Swell,,1,12:30,,15,,,,,T. Kōura,False,10,1960,TSB_20240110_BUV_TSB_002_01.mp4,media/TSB_20240110_BUV/TSB_20240110_BUV_TSB_002_01/TSB_20240110_BUV_TSB_002_01.mp4,100,1900,90012
TSB_20240110_BUV_TSB_002_02,TSB_20240110_BUV,TSB_002,-39.6304,177.8354427,10/01/2024,T. Kōura,,,,2,12:15,,40,,,,,T. Kōura,False,10,1927,TSB_20240110_BUV_TSB_002_02.mp4,media/TSB_20240110_BUV/TSB_20240110_BUV_TSB_002_02/TSB_20240110_BUV_TSB_002_02.mp4,67,1867,90013
TSB_20240110_BUV_TSB_003_01,TSB_20240110_BUV,TSB_003,-39.6135367,177.866104,10/01/2024,T. Kōura,,<0.1m_Swell,,1,10:30,,18,,,,Camera flooded (fake test data),T. Kōura,True,,,NO VIDEO BAD DEPLOYMENT,NO VIDEO BAD DEPLOYMENT,0,0,90014
TSB_20240110_BUV_TSB_004_01,TSB_20240110_BUV,TSB_004,-39.6169078,177.8298297,10/01/2024,T. Kōura,High,Calm,,1,11:00,,23,,,,,T. Kōura,False,10,1966,TSB_20240110_BUV_TSB_004_01.mp4,media/TSB_20240110_BUV/TSB_20240110_BUV_TSB_004_01/TSB_20240110_BUV_TSB_004_01.mp4,106,1906,90015
TSB_20240110_BUV_TSB_005_01,TSB_20240110_BUV,TSB_005,-39.6305588,177.8511623,10/01/2024,T. Kōura,,<0.1m_Swell,,1,10:45,,18,,,,,T. Kōura,False,10,1900,TSB_20240110_BUV_TSB_005_01.mp4,media/TSB_20240110_BUV/TSB_20240110_BUV_TSB_005_01/TSB_20240110_BUV_TSB_005_01.mp4,40,1840,90016
TSB_20240110_BUV_TSB_006_01,TSB_20240110_BUV,TSB_006,-39.6164329,177.8584102,10/01/2024,T. Kōura,Low,,,1,11:30,,33,,,,,T. Kōura,False,10,1957,TSB_20240110_BUV_TSB_006_01.mp4,media/TSB_20240110_BUV/TSB_20240110_BUV_TSB_006_01/TSB_20240110_BUV_TSB_006_01.mp4,97,1897,90017
TSB_20240110_BUV_TSB_006_02,TSB_20240110_BUV,TSB_006,-39.6171006,177.8584551,10/01/2024,T. Kōura,,Calm,,2,9:15,,22,,,,,T. Kōura,False,10,1975,TSB_20240110_BUV_TSB_006_02.mp4,media/TSB_20240110_BUV/TSB_20240110_BUV_TSB_006_02/TSB_20240110_BUV_TSB_006_02.mp4,115,1915,90018
TSB_20250115_BUV_TSB_001_01,TSB_20250115_BUV,TSB_001,-39.6158598,177.8311622,15/01/2025,T. Kōura,,<0.1m_Swell,,1,8:00,,11,,,,,T. Kōura,False,10,1933,TSB_20250115_BUV_TSB_001_01.mp4,media/TSB_20250115_BUV/TSB_20250115_BUV_TSB_001_01/TSB_20250115_BUV_TSB_001_01.mp4,73,1873,90019
TSB_20250115_BUV_TSB_002_01,TSB_20250115_BUV,TSB_002,-39.628988,177.8366604,15/01/2025,T. Kōura,Low,,,1,11:30,,39,,,,,T. Kōura,False,10,1898,TSB_20250115_BUV_TSB_002_01.mp4,media/TSB_20250115_BUV/TSB_20250115_BUV_TSB_002_01/TSB_20250115_BUV_TSB_002_01.mp4,38,1838,90020
TSB_20250115_BUV_TSB_003_01,TSB_20250115_BUV,TSB_003,-39.6140351,177.8669937,15/01/2025,T. Kōura,,,,1,15:15,,38,,,,Camera flooded (fake test data),T. Kōura,True,,,NO VIDEO BAD DEPLOYMENT,NO VIDEO BAD DEPLOYMENT,0,0,90021
TSB_20250115_BUV_TSB_004_01,TSB_20250115_BUV,TSB_004,-39.6175973,177.8317482,15/01/2025,T. Kōura,High,Calm,,1,14:45,,11,,,,,T. Kōura,False,10,1914,TSB_20250115_BUV_TSB_004_01.mp4,media/TSB_20250115_BUV/TSB_20250115_BUV_TSB_004_01/TSB_20250115_BUV_TSB_004_01.mp4,54,1854,90022
TSB_20250115_BUV_TSB_004_02,TSB_20250115_BUV,TSB_004,-39.6159199,177.8317098,15/01/2025,T. Kōura,Low,Calm,,2,13:00,,23,,,,,T. Kōura,False,10,1976,TSB_20250115_BUV_TSB_004_02.mp4,media/TSB_20250115_BUV/TSB_20250115_BUV_TSB_004_02/TSB_20250115_BUV_TSB_004_02.mp4,116,1916,90023
TSB_20250115_BUV_TSB_005_01,TSB_20250115_BUV,TSB_005,-39.6311456,177.8491347,15/01/2025,T. Kōura,Low,Calm,,1,15:15,,12,,,,,T. Kōura,False,10,1914,TSB_20250115_BUV_TSB_005_01.mp4,media/TSB_20250115_BUV/TSB_20250115_BUV_TSB_005_01/TSB_20250115_BUV_TSB_005_01.mp4,54,1854,90024
TSB_20250115_BUV_TSB_006_01,TSB_20250115_BUV,TSB_006,-39.6187565,177.8590972,15/01/2025,T. Kōura,,<0.1m_Swell,,1,9:15,,18,,,,,T. Kōura,False,10,1960,TSB_20250115_BUV_TSB_006_01.mp4,media/TSB_20250115_BUV/TSB_20250115_BUV_TSB_006_01/TSB_20250115_BUV_TSB_006_01.mp4,100,1900,90025
TSB_20250115_BUV_TSB_006_02,TSB_20250115_BUV,TSB_006,-39.6175933,177.857782,15/01/2025,T. Kōura,High,<0.1m_Swell,,2,10:45,,8,,,,,T. Kōura,False,10,1942,TSB_20250115_BUV_TSB_006_02.mp4,media/TSB_20250115_BUV/TSB_20250115_BUV_TSB_006_02/TSB_20250115_BUV_TSB_006_02.mp4,82,1882,90026
SBY_20230228_BUV_SBY_001_01,SBY_20230228_BUV,SBY_001,-46.3318837,171.1916936,28/02/2023,M. Pātiki,High,<0.1m_Swell,,1,11:00,,13,,,,,M. Pātiki,False,10,1966,SBY_20230228_BUV_SBY_001_01.mp4,media/SBY_20230228_BUV/SBY_20230228_BUV_SBY_001_01/SBY_20230228_BUV_SBY_001_01.mp4,106,1906,90027
SBY_20230228_BUV_SBY_002_01,SBY_20230228_BUV,SBY_002,-46.358339,171.207932,28/02/2023,M. Pātiki,High,<0.1m_Swell,,1,13:15,,24,,,,,M. Pātiki,False,10,1974,SBY_20230228_BUV_SBY_002_01.mp4,media/SBY_20230228_BUV/SBY_20230228_BUV_SBY_002_01/SBY_20230228_BUV_SBY_002_01.mp4,114,1914,90028
SBY_20230228_BUV_SBY_002_02,SBY_20230228_BUV,SBY_002,-46.3596974,171.2083002,28/02/2023,M. Pātiki,High,Calm,,2,9:00,,37,,,,,M. Pātiki,False,10,1940,SBY_20230228_BUV_SBY_002_02.mp4,media/SBY_20230228_BUV/SBY_20230228_BUV_SBY_002_02/SBY_20230228_BUV_SBY_002_02.mp4,80,1880,90029
SBY_20230228_BUV_SBY_003_01,SBY_20230228_BUV,SBY_003,-46.3636952,171.191886,28/02/2023,M. Pātiki,Low,Calm,,1,9:15,,31,,,,Camera flooded (fake test data),M. Pātiki,True,,,NO VIDEO BAD DEPLOYMENT,NO VIDEO BAD DEPLOYMENT,0,0,90030
SBY_20230228_BUV_SBY_004_01,SBY_20230228_BUV,SBY_004,-46.3470182,171.2018175,28/02/2023,M. Pātiki,High,,,1,8:30,,14,,,,,M. Pātiki,False,10,1910,SBY_20230228_BUV_SBY_004_01.mp4,media/SBY_20230228_BUV/SBY_20230228_BUV_SBY_004_01/SBY_20230228_BUV_SBY_004_01.mp4,50,1850,90031
SBY_20230228_BUV_SBY_004_02,SBY_20230228_BUV,SBY_004,-46.3475394,171.2028569,28/02/2023,M. Pātiki,,,,2,10:30,,26,,,,,M. Pātiki,False,10,1907,SBY_20230228_BUV_SBY_004_02.mp4,media/SBY_20230228_BUV/SBY_20230228_BUV_SBY_004_02/SBY_20230228_BUV_SBY_004_02.mp4,47,1847,90032
SBY_20230228_BUV_SBY_005_01,SBY_20230228_BUV,SBY_005,-46.3686026,171.2037698,28/02/2023,M. Pātiki,High,,,1,15:30,,11,,,,,M. Pātiki,False,10,1933,SBY_20230228_BUV_SBY_005_01.mp4,media/SBY_20230228_BUV/SBY_20230228_BUV_SBY_005_01/SBY_20230228_BUV_SBY_005_01.mp4,73,1873,90033
SBY_20230228_BUV_SBY_006_01,SBY_20230228_BUV,SBY_006,-46.3679541,171.1996431,28/02/2023,M. Pātiki,Low,Calm,,1,10:30,,18,,,,,M. Pātiki,False,10,1971,SBY_20230228_BUV_SBY_006_01.mp4,media/SBY_20230228_BUV/SBY_20230228_BUV_SBY_006_01/SBY_20230228_BUV_SBY_006_01.mp4,111,1911,90034
SBY_20240215_BUV_SBY_001_01,SBY_20240215_BUV,SBY_001,-46.3299706,171.1907908,15/02/2024,M. Pātiki,Low,<0.1m_Swell,,1,10:00,,31,,,,,M. Pātiki,False,10,1960,SBY_20240215_BUV_SBY_001_01.mp4,media/SBY_20240215_BUV/SBY_20240215_BUV_SBY_001_01/SBY_20240215_BUV_SBY_001_01.mp4,100,1900,90035
SBY_20240215_BUV_SBY_001_02,SBY_20240215_BUV,SBY_001,-46.33043,171.1903975,15/02/2024,M. Pātiki,Low,Calm,,2,13:00,,30,,,,,M. Pātiki,False,10,1964,SBY_20240215_BUV_SBY_001_02.mp4,media/SBY_20240215_BUV/SBY_20240215_BUV_SBY_001_02/SBY_20240215_BUV_SBY_001_02.mp4,104,1904,90036
SBY_20240215_BUV_SBY_002_01,SBY_20240215_BUV,SBY_002,-46.3593414,171.2066721,15/02/2024,M. Pātiki,,Calm,,1,10:15,,18,,,,,M. Pātiki,False,10,1977,SBY_20240215_BUV_SBY_002_01.mp4,media/SBY_20240215_BUV/SBY_20240215_BUV_SBY_002_01/SBY_20240215_BUV_SBY_002_01.mp4,117,1917,90037
SBY_20240215_BUV_SBY_003_01,SBY_20240215_BUV,SBY_003,-46.3652337,171.192578,15/02/2024,M. Pātiki,High,Calm,,1,11:30,,18,,,,Camera flooded (fake test data),M. Pātiki,True,,,NO VIDEO BAD DEPLOYMENT,NO VIDEO BAD DEPLOYMENT,0,0,90038
SBY_20240215_BUV_SBY_004_01,SBY_20240215_BUV,SBY_004,-46.3457163,171.2027636,15/02/2024,M. Pātiki,Low,<0.1m_Swell,,1,15:30,,27,,,,,M. Pātiki,False,10,1938,SBY_20240215_BUV_SBY_004_01.mp4,media/SBY_20240215_BUV/SBY_20240215_BUV_SBY_004_01/SBY_20240215_BUV_SBY_004_01.mp4,78,1878,90039
SBY_20240215_BUV_SBY_005_01,SBY_20240215_BUV,SBY_005,-46.3691424,171.2024465,15/02/2024,M. Pātiki,High,Calm,,1,9:30,,30,,,,,M. Pātiki,False,10,1918,SBY_20240215_BUV_SBY_005_01.mp4,media/SBY_20240215_BUV/SBY_20240215_BUV_SBY_005_01/SBY_20240215_BUV_SBY_005_01.mp4,58,1858,90040
SBY_20240215_BUV_SBY_006_01,SBY_20240215_BUV,SBY_006,-46.3662814,171.2004217,15/02/2024,M. Pātiki,Low,<0.1m_Swell,,1,12:15,,24,,,,,M. Pātiki,False,10,1976,SBY_20240215_BUV_SBY_006_01.mp4,media/SBY_20240215_BUV/SBY_20240215_BUV_SBY_006_01/SBY_20240215_BUV_SBY_006_01.mp4,116,1916,90041
SBY_20240215_BUV_SBY_006_02,SBY_20240215_BUV,SBY_006,-46.3688996,171.2001168,15/02/2024,M. Pātiki,,Calm,,2,14:00,,32,,,,,M. Pātiki,False,10,1894,SBY_20240215_BUV_SBY_006_02.mp4,media/SBY_20240215_BUV/SBY_20240215_BUV_SBY_006_02/SBY_20240215_BUV_SBY_006_02.mp4,34,1834,90042
SBY_20250220_BUV_SBY_001_01,SBY_20250220_BUV,SBY_001,-46.3319544,171.1904163,20/02/2025,M. Pātiki,,,,1,11:30,,35,,,,,M. Pātiki,False,10,1922,SBY_20250220_BUV_SBY_001_01.mp4,media/SBY_20250220_BUV/SBY_20250220_BUV_SBY_001_01/SBY_20250220_BUV_SBY_001_01.mp4,62,1862,90043
SBY_20250220_BUV_SBY_002_01,SBY_20250220_BUV,SBY_002,-46.3573277,171.2082332,20/02/2025,M. Pātiki,,<0.1m_Swell,,1,12:30,,34,,,,,M. Pātiki,False,10,1975,SBY_20250220_BUV_SBY_002_01.mp4,media/SBY_20250220_BUV/SBY_20250220_BUV_SBY_002_01/SBY_20250220_BUV_SBY_002_01.mp4,115,1915,90044
SBY_20250220_BUV_SBY_003_01,SBY_20250220_BUV,SBY_003,-46.3632165,171.1920315,20/02/2025,M. Pātiki,Low,Calm,,1,14:15,,27,,,,Camera flooded (fake test data),M. Pātiki,True,,,NO VIDEO BAD DEPLOYMENT,NO VIDEO BAD DEPLOYMENT,0,0,90045
SBY_20250220_BUV_SBY_003_02,SBY_20250220_BUV,SBY_003,-46.3636643,171.1903695,20/02/2025,M. Pātiki,High,<0.1m_Swell,,2,14:30,,37,,,,,M. Pātiki,False,10,1941,SBY_20250220_BUV_SBY_003_02.mp4,media/SBY_20250220_BUV/SBY_20250220_BUV_SBY_003_02/SBY_20250220_BUV_SBY_003_02.mp4,81,1881,90046
SBY_20250220_BUV_SBY_004_01,SBY_20250220_BUV,SBY_004,-46.3463059,171.2017213,20/02/2025,M. Pātiki,,<0.1m_Swell,,1,9:30,,40,,,,,M. Pātiki,False,10,1946,SBY_20250220_BUV_SBY_004_01.mp4,media/SBY_20250220_BUV/SBY_20250220_BUV_SBY_004_01/SBY_20250220_BUV_SBY_004_01.mp4,86,1886,90047
SBY_20250220_BUV_SBY_004_02,SBY_20250220_BUV,SBY_004,-46.346434,171.2011934,20/02/2025,M. Pātiki,Low,,,2,12:15,,20,,,,,M. Pātiki,False,10,1974,SBY_20250220_BUV_SBY_004_02.mp4,media/SBY_20250220_BUV/SBY_20250220_BUV_SBY_004_02/SBY_20250220_BUV_SBY_004_02.mp4,114,1914,90048
SBY_20250220_BUV_SBY_005_01,SBY_20250220_BUV,SBY_005,-46.3690748,171.2048189,20/02/2025,M. Pātiki,,<0.1m_Swell,,1,15:45,,20,,,,,M. Pātiki,False,10,1893,SBY_20250220_BUV_SBY_005_01.mp4,media/SBY_20250220_BUV/SBY_20250220_BUV_SBY_005_01/SBY_20250220_BUV_SBY_005_01.mp4,33,1833,90049
SBY_20250220_BUV_SBY_006_01,SBY_20250220_BUV,SBY_006,-46.3680258,171.1992558,20/02/2025,M. Pātiki,,<0.1m_Swell,,1,9:45,,22,,,,,M. Pātiki,False,10,1953,SBY_20250220_BUV_SBY_006_01.mp4,media/SBY_20250220_BUV/SBY_20250220_BUV_SBY_006_01/SBY_20250220_BUV_SBY_006_01.mp4,93,1893,90050
SBY_20250220_BUV_SBY_006_02,SBY_20250220_BUV,SBY_006,-46.3668125,171.2009008,20/02/2025,M. Pātiki,High,<0.1m_Swell,,2,11:00,,37,,,,,M. Pātiki,False,10,1912,SBY_20250220_BUV_SBY_006_02.mp4,media/SBY_20250220_BUV/SBY_20250220_BUV_SBY_006_02/SBY_20250220_BUV_SBY_006_02.mp4,52,1852,90051
TSB_20250115_BUV_TSB_007_01,TSB_20250115_BUV,TSB_007,-39.61,177.84,15/01/2025,T. Kōura,,,,1,,,,,,,fake test data — deliberate ingest error,T. Kōura,False,,,TSB_20250115_BUV_TSB_007_01.mp4,media/TSB_20250115_BUV/TSB_20250115_BUV_TSB_007_01/TSB_20250115_BUV_TSB_007_01.mp4,60,1860,99001
TSB_20250115_BUV_TSB_001_09,TSB_20250115_BUV,TSB_001,-39.61,177.84,15/01/2025,T. Kōura,,,,9,,,,,,,fake test data — deliberate ingest error,T. Kōura,False,,,TSB_20250115_BUV_TSB_001_09.mp4,media/TSB_20250115_BUV/TSB_20250115_BUV_TSB_001_09/TSB_20250115_BUV_TSB_001_09.mp4,0,1800,99002
SBY_20250220_BUV_SBY_004_09,SBY_20250220_BUV,SBY_004,-39.61,177.84,15/01/2025,T. Kōura,,,,9,,,,,,,fake test data — deliberate ingest error,T. Kōura,False,,,SBY_20250220_BUV_SBY_004_09.mp4,media/SBY_20250220_BUV/SBY_20250220_BUV_SBY_004_09/SBY_20250220_BUV_SBY_004_09.mp4,60,900,99003
SBY_20250220_BUV_SBY_002_09,SBY_20250220_BUV,SBY_002,-12.3456,177.84,15/01/2025,T. Kōura,,,,9,,,,,,,fake test data — deliberate ingest error,T. Kōura,False,,,SBY_20250220_BUV_SBY_002_09.mp4,media/SBY_20250220_BUV/SBY_20250220_BUV_SBY_002_09/SBY_20250220_BUV_SBY_002_09.mp4,60,1860,99004
TSB_20250115_BUV_TSB_002_09,TSB_20250115_BUV,TSB_002,-39.61,177.84,15/01/2025,T. Kōura,,,,9,,,,,,,fake test data — deliberate ingest error,T. Kōura,False,,,GOPR0042.mp4,media/TSB_20250115_BUV/TSB_20250115_BUV_TSB_002_09/TSB_20250115_BUV_TSB_002_09.mp4,60,1860,99005
TSB_23042025_BUV_TSB_008_01,TSB_20250115_BUV,TSB_008,-39.61,177.84,15/01/2025,T. Kōura,,,,1,,,,,,,fake test data — deliberate ingest error,T. Kōura,False,,,TSB_23042025_BUV_TSB_008_01.mp4,media/TSB_20250115_BUV/TSB_23042025_BUV_TSB_008_01/TSB_23042025_BUV_TSB_008_01.mp4,60,1860,99006
